model,accuracy,precision,recall,f1,roc_auc,pr_auc
logistic_regression,0.7352732434350603,0.5008517887563884,0.786096256684492,0.6118626430801248,0.8422769898473224,0.6324359884528697
random_forest,0.7778566359119943,0.5804749340369393,0.5882352941176471,0.5843293492695883,0.8220478441706063,0.6176958243724039
